Epoch: 091, aver_loss : 0.06434, R@20: 0.1399, N@20: 0.1007, R@10: 0.0847, N@10: 0.0761, R@50: 0.2564, N@50: 0.1417
Epoch: 092, aver_loss : 0.06429, R@20: 0.1403, N@20: 0.1009, R@10: 0.0851, N@10: 0.0763, R@50: 0.2569, N@50: 0.1420
Epoch: 093, aver_loss : 0.06396, R@20: 0.1405, N@20: 0.1011, R@10: 0.0852, N@10: 0.0764, R@50: 0.2571, N@50: 0.1422
Epoch: 094, aver_loss : 0.06342, R@20: 0.1407, N@20: 0.1013, R@10: 0.0854, N@10: 0.0767, R@50: 0.2575, N@50: 0.1425
Epoch: 095, aver_loss : 0.06317, R@20: 0.1409, N@20: 0.1015, R@10: 0.0855, N@10: 0.0769, R@50: 0.2578, N@50: 0.1427
Epoch: 096, aver_loss : 0.06314, R@20: 0.1411, N@20: 0.1016, R@10: 0.0857, N@10: 0.0770, R@50: 0.2578, N@50: 0.1428
Epoch: 097, aver_loss : 0.06295, R@20: 0.1412, N@20: 0.1017, R@10: 0.0859, N@10: 0.0771, R@50: 0.2582, N@50: 0.1430
Epoch: 098, aver_loss : 0.06216, R@20: 0.1416, N@20: 0.1020, R@10: 0.0858, N@10: 0.0772, R@50: 0.2588, N@50: 0.1433
Epoch: 099, aver_loss : 0.06326, R@20: 0.1417, N@20: 0.1022, R@10: 0.0860, N@10: 0.0774, R@50: 0.2589, N@50: 0.1435
Epoch: 100, aver_loss : 0.06228, R@20: 0.1420, N@20: 0.1023, R@10: 0.0862, N@10: 0.0775, R@50: 0.2592, N@50: 0.1436
Epoch: 101, aver_loss : 0.06146, R@20: 0.1418, N@20: 0.1023, R@10: 0.0862, N@10: 0.0775, R@50: 0.2590, N@50: 0.1435
Epoch: 102, aver_loss : 0.06173, R@20: 0.1424, N@20: 0.1027, R@10: 0.0865, N@10: 0.0778, R@50: 0.2597, N@50: 0.1440
Epoch: 103, aver_loss : 0.06125, R@20: 0.1425, N@20: 0.1028, R@10: 0.0867, N@10: 0.0780, R@50: 0.2598, N@50: 0.1442
Epoch: 104, aver_loss : 0.06162, R@20: 0.1429, N@20: 0.1031, R@10: 0.0868, N@10: 0.0781, R@50: 0.2601, N@50: 0.1444
Epoch: 105, aver_loss : 0.06103, R@20: 0.1433, N@20: 0.1033, R@10: 0.0867, N@10: 0.0781, R@50: 0.2600, N@50: 0.1444
Epoch: 106, aver_loss : 0.06051, R@20: 0.1432, N@20: 0.1033, R@10: 0.0868, N@10: 0.0782, R@50: 0.2605, N@50: 0.1447
Epoch: 107, aver_loss : 0.06017, R@20: 0.1433, N@20: 0.1034, R@10: 0.0868, N@10: 0.0783, R@50: 0.2606, N@50: 0.1447
Epoch: 108, aver_loss : 0.06007, R@20: 0.1437, N@20: 0.1037, R@10: 0.0869, N@10: 0.0784, R@50: 0.2610, N@50: 0.1451
Epoch: 109, aver_loss : 0.06006, R@20: 0.1435, N@20: 0.1037, R@10: 0.0870, N@10: 0.0785, R@50: 0.2610, N@50: 0.1451
Epoch: 110, aver_loss : 0.05971, R@20: 0.1436, N@20: 0.1037, R@10: 0.0871, N@10: 0.0786, R@50: 0.2614, N@50: 0.1452
Epoch: 111, aver_loss : 0.05921, R@20: 0.1440, N@20: 0.1041, R@10: 0.0875, N@10: 0.0789, R@50: 0.2619, N@50: 0.1456
Epoch: 112, aver_loss : 0.05960, R@20: 0.1439, N@20: 0.1040, R@10: 0.0876, N@10: 0.0789, R@50: 0.2620, N@50: 0.1457
